elapsed_s,event,body_x,body_y,dist,tags_used
26.622,lost,,,,
26.635,lost,,,,
26.648,lost,,,,
26.661,lost,,,,
26.674,lost,,,,
26.689,lost,,,,
26.701,lost,,,,
26.714,lost,,,,
26.728,lost,,,,
26.740,lost,,,,
26.752,lost,,,,
26.763,lost,,,,
26.775,lost,,,,
26.789,lost,,,,
26.802,lost,,,,
26.814,lost,,,,
26.826,lost,,,,
26.838,lost,,,,
26.852,lost,,,,
26.865,lost,,,,
26.876,lost,,,,
26.888,lost,,,,
26.903,lost,,,,
26.917,lost,,,,
26.928,lost,,,,
26.940,lost,,,,
26.955,lost,,,,
26.968,lost,,,,
26.981,lost,,,,
26.995,lost,,,,
27.007,lost,,,,
27.019,lost,,,,
27.032,lost,,,,
27.046,lost,,,,
27.060,lost,,,,
27.073,lost,,,,
27.086,lost,,,,
27.101,lost,,,,
27.114,lost,,,,
27.126,lost,,,,
27.139,lost,,,,
27.153,lost,,,,
27.167,lost,,,,
27.178,lost,,,,
27.191,lost,,,,
27.206,lost,,,,
27.220,lost,,,,
27.232,lost,,,,
27.244,lost,,,,
27.256,lost,,,,
27.271,lost,,,,
27.284,lost,,,,
27.298,lost,,,,
27.310,lost,,,,
27.324,lost,,,,
27.336,lost,,,,
27.347,lost,,,,
27.360,lost,,,,
27.375,lost,,,,
27.388,lost,,,,
27.401,lost,,,,
27.416,lost,,,,
27.428,lost,,,,
27.440,lost,,,,
27.451,lost,,,,
27.464,lost,,,,
27.474,lost,,,,
27.487,lost,,,,
27.497,lost,,,,
27.510,lost,,,,
27.523,lost,,,,
27.535,lost,,,,
27.546,lost,,,,
27.558,lost,,,,
27.571,lost,,,,
27.586,lost,,,,
27.597,lost,,,,
27.610,lost,,,,
27.621,lost,,,,
27.634,lost,,,,
27.647,lost,,,,
27.660,lost,,,,
27.672,lost,,,,
27.686,lost,,,,
27.700,lost,,,,
27.711,lost,,,,
27.723,lost,,,,
27.739,lost,,,,
27.751,lost,,,,
27.763,lost,,,,
27.776,lost,,,,
27.789,lost,,,,
27.802,lost,,,,
27.813,lost,,,,
27.825,lost,,,,
27.840,lost,,,,
27.853,lost,,,,
27.864,lost,,,,
27.876,lost,,,,
27.890,lost,,,,
27.902,lost,,,,
27.913,lost,,,,
27.924,lost,,,,
27.938,lost,,,,
27.952,lost,,,,
27.964,lost,,,,
27.976,lost,,,,
27.989,lost,,,,
28.006,lost,,,,
28.018,lost,,,,
28.029,lost,,,,
28.042,lost,,,,
28.054,lost,,,,
28.066,lost,,,,
28.079,lost,,,,
28.092,lost,,,,
28.107,lost,,,,
